Ticker,Company Name,Sector,Industry Group,Industry,Sub Industry,Prospect Status,Product
TRC,Tejon Ranch Co,Real Estate,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities ,Opportunity,Cloud Data Storage
KBR,Kbr Inc,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,Unqualified Lead,Cloud Data Storage
WY,Weyerhaeuser Co,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Specialized REITs ,Opportunity,Chatbot
PCH,Potlatchdeltic Corp,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Specialized REITs ,Sales Qualified Lead (SQL),Cloud Data Storage
GCI,Gannett Co Inc,Communication Services,Media & Entertainment,Media,Publishing,Sales Accepted Lead (SAL),Planning Software
LEE,Lee Enterprises Inc,Communication Services,Media & Entertainment,Media,Publishing,Unqualified Lead,Planning Software
NYT,New York Times Co  -Cl A,Communication Services,Media & Entertainment,Media,Publishing,Sales Qualified Lead (SQL),CRM
NWSA,News Corp,Communication Services,Media & Entertainment,Media,Publishing,Marketing Qualified Lead (MQL),Chatbot
SCHL,Scholastic Corp,Communication Services,Media & Entertainment,Media,Publishing,Sales Qualified Lead (SQL),Accounting Software
VALU,Value Line Inc,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data,Opportunity,Planning Software
VRME,Verifyme Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Accepted Lead (SAL),Accounting Software
OCC,Optical Cable Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Cloud Data Storage
DDD,3D Systems Corp,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),Planning Software
IVAC,Intevac Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Opportunity,Planning Software
ACMR,Acm Research Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Accepted Lead (SAL),Cloud Data Storage
ASYS,Amtech Systems Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Accepted Lead (SAL),Cloud Data Storage
AMAT,Applied Materials Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Opportunity,Planning Software
